chapter	stage	name
9	26	大マゼラン星雲
9	27	ブータラ星
9	28	モスカンダグ
9	29	コロン星
9	30	ヤキソパーン
9	31	ウメ星
9	32	ダラララ
9	33	マイドムリ
9	34	メルトズ
9	35	ウラルー
9	36	アグハムム
9	37	ソモロン
9	38	アバ・ブア
9	39	ティターン
9	40	デススタン
9	41	ゴリラの惑星
9	42	チョイバトロン星
9	43	クリムゾン星
9	44	N77星雲
9	45	アンドロメダ
9	46	ブラックホール
9	47	ビッグバン
